Tweet Id,text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1.29647E+18,RT @CUIndigenous : Date change for Knowledge Keeper's Circle. It is now September 14th! Here is the updated poster. https://t.co/0w5VQX0iuf,Carleton University,Carleton_U,2020-08-20T15:29:32.000Z,Thu Aug 20 15:29:32 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/EfzGHvfXoAovQAj.jpg,,,
1.29647E+18,"RT @CUSERT : Want to learn new skills and make connections with highly motivated and dedicated individuals? Join our team! 

Check the link in our bio for info on how to become a first responder with CUSERT.
#firstresponder #cusert #carletonu #cusafety https://t.co/oqOa2SXPba",Carleton University,Carleton_U,2020-08-20T15:29:26.000Z,Thu Aug 20 15:29:26 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,4,0,photo,https://pbs.twimg.com/media/Efy2S2VXoAElAHs.jpg,,,
1.29646E+18,"RT @CU_FASS : A team of @carleton_u musicians assembled online this summer to save the fall semester for music students hoping to play together in real-time. Now, a fundamental part of @carleton_music education has been restored thanks to their efforts &amp; innovation! https://t.co/iaRliJqCUp https://t.co/E0RdhjH3n7",Carleton University,Carleton_U,2020-08-20T14:34:38.000Z,Thu Aug 20 14:34:38 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://bit.ly/3g9sOkI ,0,2,photo,https://pbs.twimg.com/media/Ef3fJAJWAAMz-GC.jpg,,,
1.29642E+18,"RT @CUnewsroom : After a fulfilling career working to create positive change, @Carleton_U alum Daryl Rock and his wife Melanie have established 4 new scholarships to help students with physical disabilities develop skills for professions in high-demand fields. 

Read more: https://t.co/jpoMVzFqlU https://t.co/ejsTYAEH8t",Carleton University,Carleton_U,2020-08-20T12:01:05.000Z,Thu Aug 20 12:01:05 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://newsroom.carleton.ca/story/scholarship-students-with-disabilities/ ,0,1,photo,https://pbs.twimg.com/media/EfysUapX0AIL2J4.jpg,,,
1.29607E+18,"Join the Carleton community August 31 to September 18, 2020, as the Ask Me Campaign launches digitally for the first time. Help virtually welcome new and returning students to Carleton by downloading your digital Ask Me buttons or profile banners.
https://t.co/LrA0xi0L3g https://t.co/3teiAchT6r",Carleton University,Carleton_U,2020-08-19T13:03:24.000Z,Wed Aug 19 13:03:24 +0000 2020,27,18,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,http://carleton.ca/askme ,0,0,photo,https://pbs.twimg.com/media/EfyRCHlXsAEBdh1.jpg,,,
1.29607E+18,"RT @CarletonScience : Could volatile organic compounds save bats from the dangerous and destructive white-nose syndrome?
??
@CarletonBiology's Emma Micalizzi and Myron Smith have good news and bad news.
??
Read about their work in the @cdnsciencepub blog!
https://t.co/7cl9hIwOnI",Carleton University,Carleton_U,2020-08-19T12:59:01.000Z,Wed Aug 19 12:59:01 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://blog.cdnsciencepub.com/could-volatile-organic-compounds-save-bats-from-white-nose-syndrome/ ,0,2,,,,,
1.29588E+18,"RT @CUnewsroom : .@CarletonSPPA Chancellor’s Professor Frances Abele will receive $2.5 million over six years from @SSHRC_CRSH to support her project team’s investigation into transforming Indian Act governance. 

Read more: https://t.co/VrSm18rioD",Carleton University,Carleton_U,2020-08-19T00:23:19.000Z,Wed Aug 19 00:23:19 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://newsroom.carleton.ca/2020/frances-abele-receives-sshrc-funding-to-investigate-transforming-the-indian-act/ ,0,2,,,,,
1.29588E+18,RT @CU_Quality : Rainbow over Dunton Tower right now! @Carleton_U https://t.co/83FniqjHpC,Carleton University,Carleton_U,2020-08-19T00:13:58.000Z,Wed Aug 19 00:13:58 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/Efu4wdWWoAIS5dE.jpg,,,
1.29574E+18,"International students studying in the fall 2020 term who are residing outside of Canada are now eligible to opt-out of the University Health Insurance Plan (UHIP). 
https://t.co/u7RnjsIKzQ",Carleton University,Carleton_U,2020-08-18T15:30:38.000Z,Tue Aug 18 15:30:38 +0000 2020,9,5,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,https://carleton.ca/isso/?p=26826 ,0,0,,,,,
1.29542E+18,"Get exposure to research scholarships, mentoring and the opportunity to develop your research skills with the I-CUREUS internship program!
https://t.co/7nIPqzt89G",Carleton University,Carleton_U,2020-08-17T18:02:26.000Z,Mon Aug 17 18:02:26 +0000 2020,5,5,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,https://students.carleton.ca/2020/08/applications-for-i-cureus-2020-2021-are-now-open/ ,0,0,,,,,
1.29541E+18,"RT @CURavens : Let's make history! Be part of the first ever official Carleton Ravens Esports team competing in the inaugural @TeamOPSE season ??  #ESPORTS

??  OVERWATCH
??  LEAGUE OF LEGENDS
??  ROCKET LEAGUE
??  HEARTHSTONE

Register for tryouts here ??  https://t.co/V6AzYsOgMA https://t.co/73QRB6MTnm",Carleton University,Carleton_U,2020-08-17T17:18:11.000Z,Mon Aug 17 17:18:11 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://bit.ly/3kQjfut ,1,1,photo,https://pbs.twimg.com/media/Efo34KTXYAEBYIZ.jpg,,,
1.29541E+18,"RT @CarletonSSSC : Late summer exams start today and the SSSC is available to help you prepare and study for your exams. Reach us via email, phone, or DM us on our website or through social media. Also, be sure to check out all the helpful resources at https://t.co/wYnc2qs8ho. https://t.co/eSbu6uorJT",Carleton University,Carleton_U,2020-08-17T17:13:46.000Z,Mon Aug 17 17:13:46 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://sssc.carleton.ca/resources ,0,0,photo,https://pbs.twimg.com/media/Efo1Op6WkAApJsr.jpg,,,
1.2954E+18,"RT @Carleton_IT : cuLearn services will be unavailable from 12:00 PM Sat, Aug 29 to 4:00 PM on Sun Aug 30 for software upgrades.  For more info see:  https://t.co/bnw60wgD7F  @Carleton_U @CU_TLS",Carleton University,Carleton_U,2020-08-17T16:43:21.000Z,Mon Aug 17 16:43:21 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://carleton.ca/its/?p=27083 ,0,2,,,,,
